#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
HSA-5357801,Programmed Cell Death,36,165,0.36,0.00046,"9606.ENSP00000044462,9606.ENSP00000210313,9606.ENSP00000216274,9606.ENSP00000216802,9606.ENSP00000223321,9606.ENSP00000247668,9606.ENSP00000261303,9606.ENSP00000261891,9606.ENSP00000262193,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000303423,9606.ENSP00000304236,9606.ENSP00000308351,9606.ENSP00000341189,9606.ENSP00000341957,9606.ENSP00000346697,9606.ENSP00000347379,9606.ENSP00000351273,9606.ENSP00000351314,9606.ENSP00000358327,9606.ENSP00000362334,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000364519,9606.ENSP00000364847,9606.ENSP00000371267,9606.ENSP00000372155,9606.ENSP00000376943,9606.ENSP00000378974,9606.ENSP00000381185,9606.ENSP00000388107,9606.ENSP00000391211,9606.ENSP00000401802,9606.ENSP00000417653,9606.ENSP00000442973","PSMA4,PSMD5,RIPK3,PSME2,PSMA2,TRAF2,PSMC1,DAPK2,PSMB1,STAT3,TP53,FNTA,CD14,MLKL,PTK2,TP53BP2,BMF,OCLN,CASP8,PSMB10,CASP7,PSMB2,PSMB9,PSMB8,TFDP1,MAGED1,YWHAQ,PSME1,BCL2L11,MAPK8,BCL2,UBA52,PSMC2,PSMC6,DBNL,DAPK3"
HSA-381119,Unfolded Protein Response (UPR),25,94,0.45,0.00052,"9606.ENSP00000243253,9606.ENSP00000256497,9606.ENSP00000262947,9606.ENSP00000298428,9606.ENSP00000314615,9606.ENSP00000315476,9606.ENSP00000316029,9606.ENSP00000320866,9606.ENSP00000328023,9606.ENSP00000354791,9606.ENSP00000357189,9606.ENSP00000359132,9606.ENSP00000364885,9606.ENSP00000366395,9606.ENSP00000366997,9606.ENSP00000381148,9606.ENSP00000381216,9606.ENSP00000387911,9606.ENSP00000390475,9606.ENSP00000401303,9606.ENSP00000409555,9606.ENSP00000418401,9606.ENSP00000438689,9606.ENSP00000440402,9606.ENSP00000480150","SEC61A1,EDEM1,C19orf10,SEC61A2,ARFGAP1,EXOSC4,TLN1,CALR,SRPR,DCTN1,HDGF,EXTL2,ZBTB17,SYVN1,DIS3,CTDSP2,KHSRP,PARN,CXXC1,SHC1,HERPUD1,SRPRB,ACADVL,DDX11,HYOU1"
HSA-199991,Membrane Trafficking,93,612,0.2,0.00061,"9606.ENSP00000216416,9606.ENSP00000221114,9606.ENSP00000227266,9606.ENSP00000229340,9606.ENSP00000248901,9606.ENSP00000249647,9606.ENSP00000253861,9606.ENSP00000254286,9606.ENSP00000257017,9606.ENSP00000258198,9606.ENSP00000259632,9606.ENSP00000261483,9606.ENSP00000261890,9606.ENSP00000262585,9606.ENSP00000263116,9606.ENSP00000263168,9606.ENSP00000263270,9606.ENSP00000263864,9606.ENSP00000264712,9606.ENSP00000271234,9606.ENSP00000280772,9606.ENSP00000292807,9606.ENSP00000300692,9606.ENSP00000302913,9606.ENSP00000309415,9606.ENSP00000310406,9606.ENSP00000312734,9606.ENSP00000314615,9606.ENSP00000322594,9606.ENSP00000326649,9606.ENSP00000347792,9606.ENSP00000349960,9606.ENSP00000350266,9606.ENSP00000351926,9606.ENSP00000352834,9606.ENSP00000354398,9606.ENSP00000354791,9606.ENSP00000354878,9606.ENSP00000355511,9606.ENSP00000357048,9606.ENSP00000358582,9606.ENSP00000358921,9606.ENSP00000359000,9606.ENSP00000360154,9606.ENSP00000361731,9606.ENSP00000362469,9606.ENSP00000362639,9606.ENSP00000362727,9606.ENSP00000363452,9606.ENSP00000366280,9606.ENSP00000367220,9606.ENSP00000367318,9606.ENSP00000368831,9606.ENSP00000369784,9606.ENSP00000370695,9606.ENSP00000370889,9606.ENSP00000371267,9606.ENSP00000373905,9606.ENSP00000376024,9606.ENSP00000376792,9606.ENSP00000377015,9606.ENSP00000381293,9606.ENSP00000381823,9606.ENSP00000384615,9606.ENSP00000386456,9606.ENSP00000387286,9606.ENSP00000388107,9606.ENSP00000391723,9606.ENSP00000391942,9606.ENSP00000392065,9606.ENSP00000393776,9606.ENSP00000401010,9606.ENSP00000408910,9606.ENSP00000409581,9606.ENSP00000409667,9606.ENSP00000413625,9606.ENSP00000414906,9606.ENSP00000414982,9606.ENSP00000416066,9606.ENSP00000417573,9606.ENSP00000425587,9606.ENSP00000432083,9606.ENSP00000434442,9606.ENSP00000435289,9606.ENSP00000438115,9606.ENSP00000440005,9606.ENSP00000440704,9606.ENSP00000441158,9606.ENSP00000443654,9606.ENSP00000466363,9606.ENSP00000480332,9606.ENSP00000482835,9606.ENSP00000484060","CNIH1,DCTN6,CTSC,RAB35,CYTH4,SNAP23,EXOC4,ACTR10,RAB33A,DYNC1LI2,DCTN3,MAN2A1,RAB11A,DENND3,RAB36,CAPZA1,AP2S1,VAMP8,KIF3C,FNBP1L,ANK3,AP2M1,CD3D,SH3D19,CLTB,RIN1,RAB8B,ARFGAP1,RAB39A,HPS1,SYNJ2,ACTB,DENND2D,AP2A1,MYO1C,CYTH1,DCTN1,KIF21A,CHML,COPA,AP4B1,ACTR1A,GBF1,OCRL,TBC1D13,SLC2A8,RABEPK,DENND1A,MAN1C1,LMAN2L,ACTR2,RGP1,SNX2,TUBAL3,EXOC1,DENND1C,YWHAQ,DNM2,SNX9,VTI1A,PICALM,NSF,SEC24A,STON1,AAK1,RAB1A,UBA52,PUM1,NECAP2,REPS1,FCHO2,CAPZB,DCTN2,ARRB1,SYNJ1,FNBP1,DCTN4,KLC1,SERPINA1,YIPF6,EXOC3,HSPA8,ARFGAP2,PAFAH1B2,COPS7A,ARF1,SYTL1,CLTCL1,TBC1D10C,PIP5K1C,TRAPPC3,AP2B1,PACSIN1"
HSA-4086400,PCP/CE pathway,24,89,0.45,0.00061,"9606.ENSP00000044462,9606.ENSP00000210313,9606.ENSP00000216802,9606.ENSP00000223321,9606.ENSP00000249071,9606.ENSP00000261303,9606.ENSP00000262193,9606.ENSP00000263270,9606.ENSP00000292807,9606.ENSP00000304283,9606.ENSP00000305355,9606.ENSP00000309415,9606.ENSP00000351314,9606.ENSP00000351926,9606.ENSP00000354621,9606.ENSP00000357040,9606.ENSP00000362334,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000372155,9606.ENSP00000388107,9606.ENSP00000391211,9606.ENSP00000401802,9606.ENSP00000482835","PSMA4,PSMD5,PSME2,PSMA2,RAC2,PSMC1,PSMB1,AP2S1,AP2M1,RAC3,PRKCB,CLTB,PSMB10,AP2A1,SMURF1,VANGL2,PSMB2,PSMB9,PSMB8,PSME1,UBA52,PSMC2,PSMC6,AP2B1"
HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,19,60,0.52,0.00063,"9606.ENSP00000245503,9606.ENSP00000271450,9606.ENSP00000293373,9606.ENSP00000312185,9606.ENSP00000316338,9606.ENSP00000341189,9606.ENSP00000349960,9606.ENSP00000352834,9606.ENSP00000358165,9606.ENSP00000360609,9606.ENSP00000364907,9606.ENSP00000365891,9606.ENSP00000367220,9606.ENSP00000376330,9606.ENSP00000389631,9606.ENSP00000444645,9606.ENSP00000472929,9606.ENSP00000483313,9606.ENSP00000483570","MYH2,FCGR2A,NCKAP1L,ELMO1,BAIAP2,PTK2,ACTB,MYO1C,FCGR1A,HSP90AB1,SYK,WAS,ACTR2,WIPF1,ARPC1B,CYFIP2,VAV1,WASF2,BTK"
HSA-180585,Vif-mediated degradation of APOBEC3G,17,50,0.55,0.00075,"9606.ENSP00000044462,9606.ENSP00000210313,9606.ENSP00000216225,9606.ENSP00000216802,9606.ENSP00000223321,9606.ENSP00000261303,9606.ENSP00000262193,9606.ENSP00000262306,9606.ENSP00000351314,9606.ENSP00000362334,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000372155,9606.ENSP00000388107,9606.ENSP00000391211,9606.ENSP00000401802,9606.ENSP00000478121","PSMA4,PSMD5,RBX1,PSME2,PSMA2,PSMC1,PSMB1,TCEB2,PSMB10,PSMB2,PSMB9,PSMB8,PSME1,UBA52,PSMC2,PSMC6,TCEB1"
HSA-354192,Integrin alphaIIb beta3 signaling,12,25,0.7,0.00075,"9606.ENSP00000262407,9606.ENSP00000306099,9606.ENSP00000306361,9606.ENSP00000316029,9606.ENSP00000336829,9606.ENSP00000338864,9606.ENSP00000341189,9606.ENSP00000358723,9606.ENSP00000364907,9606.ENSP00000365411,9606.ENSP00000401303,9606.ENSP00000452786","ITGA2B,FGB,FGA,TLN1,FGG,RASGRP2,PTK2,RAP1A,SYK,APBB1IP,SHC1,ITGB3"
HSA-388841,Costimulation by the CD28 family,19,61,0.51,0.00075,"9606.ENSP00000300692,9606.ENSP00000311344,9606.ENSP00000333919,9606.ENSP00000337825,9606.ENSP00000339186,9606.ENSP00000347948,9606.ENSP00000353099,9606.ENSP00000354566,9606.ENSP00000364080,9606.ENSP00000364114,9606.ENSP00000370989,9606.ENSP00000378786,9606.ENSP00000380855,9606.ENSP00000384848,9606.ENSP00000391592,9606.ENSP00000393566,9606.ENSP00000408146,9606.ENSP00000428924,9606.ENSP00000472929","CD3D,PPP2R1B,BTLA,LCK,GRAP2,TNFRSF14,HLA-DRB1,CD3E,HLA-DQB1,HLA-DRB5,CD274,HLA-DRA,PDCD1LG2,PRR5,PTPN6,HLA-DPA1,HLA-DPB1,LYN,VAV1"
HSA-9006921,Integrin signaling,12,25,0.7,0.00075,"9606.ENSP00000262407,9606.ENSP00000306099,9606.ENSP00000306361,9606.ENSP00000316029,9606.ENSP00000336829,9606.ENSP00000338864,9606.ENSP00000341189,9606.ENSP00000358723,9606.ENSP00000364907,9606.ENSP00000365411,9606.ENSP00000401303,9606.ENSP00000452786","ITGA2B,FGB,FGA,TLN1,FGG,RASGRP2,PTK2,RAP1A,SYK,APBB1IP,SHC1,ITGB3"
HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",12,25,0.7,0.00075,"9606.ENSP00000247461,9606.ENSP00000259951,9606.ENSP00000296754,9606.ENSP00000300289,9606.ENSP00000320866,9606.ENSP00000346206,9606.ENSP00000364034,9606.ENSP00000365402,9606.ENSP00000379873,9606.ENSP00000381823,9606.ENSP00000399168,9606.ENSP00000452780","CANX,HLA-F,ERAP1,PDIA3,CALR,TAP1,TAP2,HLA-C,HLA-A,SEC24A,HLA-B,B2M"
